county,engagement,environment,health,housing,neighborhood,opportunity,transportation
Putnam+County+Missouri,Putnam+County+Missouri,43,60,8,60,34,45,43
Ralls+County+Missouri,Ralls+County+Missouri,69,51,27,51,31,83,38
Randolph+County+Missouri,Randolph+County+Missouri,55,59,36,58,38,69,47
Ray+County+Missouri,Ray+County+Missouri,58,58,16,56,36,69,41
Reynolds+County+Missouri,Reynolds+County+Missouri,57,56,5,57,24,41,40
Ripley+County+Missouri,Ripley+County+Missouri,42,60,11,54,29,42,36
St.+Charles+County+Missouri,St.+Charles+County+Missouri,50,39,54,50,51,73,45
St.+Clair+County+Missouri,St.+Clair+County+Missouri,48,46,19,58,30,39,34
Ste.+Genevieve+County+Missouri,Ste.+Genevieve+County+Missouri,58,46,39,58,45,56,50
St.+Francois+County+Missouri,St.+Francois+County+Missouri,49,45,24,52,42,61,46
St.+Louis+County+Missouri,St.+Louis+County+Missouri,60,38,56,49,58,52,59
Saline+County+Missouri,Saline+County+Missouri,80,57,13,64,42,65,53
Schuyler+County+Missouri,Schuyler+County+Missouri,63,60,23,64,35,46,56
Scotland+County+Missouri,Scotland+County+Missouri,77,33,4,59,34,43,52
Scott+County+Missouri,Scott+County+Missouri,62,42,20,62,39,58,43
Shannon+County+Missouri,Shannon+County+Missouri,37,60,25,60,32,32,33
Shelby+County+Missouri,Shelby+County+Missouri,64,61,28,63,32,58,34
Stoddard+County+Missouri,Stoddard+County+Missouri,58,76,18,61,38,49,43
Stone+County+Missouri,Stone+County+Missouri,67,48,29,47,34,57,43
Sullivan+County+Missouri,Sullivan+County+Missouri,48,60,12,58,37,40,47
Taney+County+Missouri,Taney+County+Missouri,88,56,30,53,31,54,45
Texas+County+Missouri,Texas+County+Missouri,57,47,20,58,32,42,39
Vernon+County+Missouri,Vernon+County+Missouri,64,47,30,61,31,55,45
Warren+County+Missouri,Warren+County+Missouri,68,53,35,59,36,68,37
Washington+County+Missouri,Washington+County+Missouri,44,34,10,53,32,38,33
Wayne+County+Missouri,Wayne+County+Missouri,46,58,11,54,26,34,36
Webster+County+Missouri,Webster+County+Missouri,51,56,26,50,38,70,39
Worth+County+Missouri,Worth+County+Missouri,58,44,31,61,30,37,44
Wright+County+Missouri,Wright+County+Missouri,61,60,20,64,33,55,43
St.+Louis+city+Missouri,St.+Louis+city+Missouri,70,40,42,80,55,31,68
Beaverhead+County+Montana,Beaverhead+County+Montana,72,50,51,59,35,53,44
Big+Horn+County+Montana,Big+Horn+County+Montana,65,58,12,55,31,28,35
Blaine+County+Montana,Blaine+County+Montana,69,35,19,69,34,24,43
Broadwater+County+Montana,Broadwater+County+Montana,43,47,24,44,34,43,47
Carbon+County+Montana,Carbon+County+Montana,83,60,41,53,33,37,42
Carter+County+Montana,Carter+County+Montana,55,60,28,39,28,4,49
Cascade+County+Montana,Cascade+County+Montana,55,65,38,59,40,56,68
Chouteau+County+Montana,Chouteau+County+Montana,73,46,29,60,30,23,47
Custer+County+Montana,Custer+County+Montana,69,61,27,58,45,67,48
Daniels+County+Montana,Daniels+County+Montana,46,60,45,60,38,40,64
Dawson+County+Montana,Dawson+County+Montana,48,51,44,59,39,55,42
Deer+Lodge+County+Montana,Deer+Lodge+County+Montana,67,48,31,67,40,48,56
Fallon+County+Montana,Fallon+County+Montana,55,60,15,58,42,55,65
Fergus+County+Montana,Fergus+County+Montana,70,48,51,56,39,45,52
Flathead+County+Montana,Flathead+County+Montana,63,65,58,51,36,50,45
Gallatin+County+Montana,Gallatin+County+Montana,73,44,72,51,43,51,49
Garfield+County+Montana,Garfield+County+Montana,49,60,24,46,20,15,63
Glacier+County+Montana,Glacier+County+Montana,45,71,5,60,36,38,45
Golden+Valley+County+Montana,Golden+Valley+County+Montana,25,60,28,39,20,49,39
Granite+County+Montana,Granite+County+Montana,80,60,46,48,23,28,51
Hill+County+Montana,Hill+County+Montana,61,61,27,63,34,55,49
Jefferson+County+Montana,Jefferson+County+Montana,63,41,61,44,37,47,27
Judith+Basin+County+Montana,Judith+Basin+County+Montana,46,32,31,59,21,15,47
Lake+County+Montana,Lake+County+Montana,62,56,34,56,31,43,45
Lewis+and+Clark+County+Montana,Lewis+and+Clark+County+Montana,70,54,59,55,43,77,49
Liberty+County+Montana,Liberty+County+Montana,85,44,19,65,24,28,65
Lincoln+County+Montana,Lincoln+County+Montana,53,46,46,52,31,36,47
McCone+County+Montana,McCone+County+Montana,58,60,30,45,28,43,49
Madison+County+Montana,Madison+County+Montana,65,47,48,47,25,26,43
Meagher+County+Montana,Meagher+County+Montana,72,60,39,51,19,53,61
Mineral+County+Montana,Mineral+County+Montana,29,60,30,52,28,35,27
Missoula+County+Montana,Missoula+County+Montana,61,39,63,54,47,58,70
Musselshell+County+Montana,Musselshell+County+Montana,41,60,34,58,30,58,46
Park+County+Montana,Park+County+Montana,87,50,47,50,37,50,52
Petroleum+County+Montana,Petroleum+County+Montana,16,60,41,56,23,17,25
Phillips+County+Montana,Phillips+County+Montana,46,80,15,68,35,45,57
Pondera+County+Montana,Pondera+County+Montana,72,43,42,63,35,36,55
Powder+River+County+Montana,Powder+River+County+Montana,64,80,36,43,34,39,61
Powell+County+Montana,Powell+County+Montana,57,78,39,49,38,58,50
Prairie+County+Montana,Prairie+County+Montana,59,40,23,48,22,15,35
Ravalli+County+Montana,Ravalli+County+Montana,66,43,46,45,36,35,46
Richland+County+Montana,Richland+County+Montana,70,69,18,66,38,66,47
Roosevelt+County+Montana,Roosevelt+County+Montana,65,80,13,61,35,44,50
Rosebud+County+Montana,Rosebud+County+Montana,69,66,28,58,34,59,43
Sanders+County+Montana,Sanders+County+Montana,67,64,45,49,26,41,43
Sheridan+County+Montana,Sheridan+County+Montana,100,62,17,66,29,41,53
Silver+Bow+County+Montana,Silver+Bow+County+Montana,55,27,40,65,46,58,68
Stillwater+County+Montana,Stillwater+County+Montana,70,50,31,45,36,57,46
Sweet+Grass+County+Montana,Sweet+Grass+County+Montana,100,58,41,51,35,48,41
Teton+County+Montana,Teton+County+Montana,92,47,31,56,31,51,48
Toole+County+Montana,Toole+County+Montana,65,26,17,55,36,52,60
Treasure+County+Montana,Treasure+County+Montana,21,60,33,59,25,40,32
Valley+County+Montana,Valley+County+Montana,84,42,38,69,32,53,47
Wheatland+County+Montana,Wheatland+County+Montana,66,45,34,58,23,53,51
Wibaux+County+Montana,Wibaux+County+Montana,21,18,27,48,24,21,58
Yellowstone+County+Montana,Yellowstone+County+Montana,60,65,46,53,44,62,63
Adams+County+Nebraska,Adams+County+Nebraska,71,43,52,61,45,65,58
Antelope+County+Nebraska,Antelope+County+Nebraska,96,36,51,57,35,36,53
Arthur+County+Nebraska,Arthur+County+Nebraska,30,48,57,41,25,23,64
Banner+County+Nebraska,Banner+County+Nebraska,59,62,27,41,30,7,55
Blaine+County+Nebraska,Blaine+County+Nebraska,25,61,40,39,23,33,58
Boone+County+Nebraska,Boone+County+Nebraska,55,55,51,62,42,58,56
Box+Butte+County+Nebraska,Box+Butte+County+Nebraska,84,32,33,60,43,48,53
Boyd+County+Nebraska,Boyd+County+Nebraska,61,62,35,57,20,34,49
Brown+County+Nebraska,Brown+County+Nebraska,89,43,45,64,21,56,53
Buffalo+County+Nebraska,Buffalo+County+Nebraska,85,23,56,59,43,66,51
Burt+County+Nebraska,Burt+County+Nebraska,61,39,48,63,38,48,59
Butler+County+Nebraska,Butler+County+Nebraska,75,41,51,56,36,55,45
Cass+County+Nebraska,Cass+County+Nebraska,82,58,44,43,44,82,53
Cedar+County+Nebraska,Cedar+County+Nebraska,58,35,52,55,41,40,53
Chase+County+Nebraska,Chase+County+Nebraska,59,62,47,57,40,44,49
Cherry+County+Nebraska,Cherry+County+Nebraska,100,50,45,53,32,55,51
Cheyenne+County+Nebraska,Cheyenne+County+Nebraska,76,48,48,63,44,75,47
Clay+County+Nebraska,Clay+County+Nebraska,79,48,44,64,42,55,38
Colfax+County+Nebraska,Colfax+County+Nebraska,64,60,48,58,49,66,50
Cuming+County+Nebraska,Cuming+County+Nebraska,82,33,52,60,44,62,51
Custer+County+Nebraska,Custer+County+Nebraska,90,33,38,62,34,56,47
Dakota+County+Nebraska,Dakota+County+Nebraska,43,58,44,59,53,73,69
Dawes+County+Nebraska,Dawes+County+Nebraska,85,62,63,60,46,38,64
Dawson+County+Nebraska,Dawson+County+Nebraska,73,51,45,62,45,74,47
Deuel+County+Nebraska,Deuel+County+Nebraska,70,28,36,61,35,40,27
Dixon+County+Nebraska,Dixon+County+Nebraska,82,37,47,55,38,69,50
Dodge+County+Nebraska,Dodge+County+Nebraska,64,53,51,58,47,61,57
Douglas+County+Nebraska,Douglas+County+Nebraska,68,56,59,54,52,54,68
Dundy+County+Nebraska,Dundy+County+Nebraska,94,23,48,66,36,33,68
Fillmore+County+Nebraska,Fillmore+County+Nebraska,98,40,45,59,43,62,58
Franklin+County+Nebraska,Franklin+County+Nebraska,84,35,34,55,26,31,64
Frontier+County+Nebraska,Frontier+County+Nebraska,97,35,32,50,32,43,40
Furnas+County+Nebraska,Furnas+County+Nebraska,56,38,41,66,37,55,42
Gage+County+Nebraska,Gage+County+Nebraska,80,42,46,60,35,59,50
Garden+County+Nebraska,Garden+County+Nebraska,69,82,59,56,31,27,63
Garfield+County+Nebraska,Garfield+County+Nebraska,64,62,50,71,50,63,64
Gosper+County+Nebraska,Gosper+County+Nebraska,55,54,47,46,36,44,40
Grant+County+Nebraska,Grant+County+Nebraska,100,61,35,40,24,49,62
Greeley+County+Nebraska,Greeley+County+Nebraska,88,62,42,55,26,29,61
Hall+County+Nebraska,Hall+County+Nebraska,69,79,52,60,44,74,71
Hamilton+County+Nebraska,Hamilton+County+Nebraska,100,61,55,53,43,61,43
Harlan+County+Nebraska,Harlan+County+Nebraska,49,62,49,58,29,39,63
Hayes+County+Nebraska,Hayes+County+Nebraska,53,61,35,40,25,23,63
Hitchcock+County+Nebraska,Hitchcock+County+Nebraska,55,38,34,53,33,43,33
Holt+County+Nebraska,Holt+County+Nebraska,82,39,46,51,39,69,55
Hooker+County+Nebraska,Hooker+County+Nebraska,,,,,,,
Howard+County+Nebraska,Howard+County+Nebraska,60,62,42,57,42,40,45
Jefferson+County+Nebraska,Jefferson+County+Nebraska,81,39,35,62,40,65,51
Johnson+County+Nebraska,Johnson+County+Nebraska,48,62,39,62,40,57,46
Kearney+County+Nebraska,Kearney+County+Nebraska,92,58,38,50,37,58,42
Keith+County+Nebraska,Keith+County+Nebraska,94,61,55,60,36,56,40
Keya+Paha+County+Nebraska,Keya+Paha+County+Nebraska,64,62,45,67,23,9,62
Kimball+County+Nebraska,Kimball+County+Nebraska,47,57,41,50,49,62,35
Knox+County+Nebraska,Knox+County+Nebraska,69,54,51,64,31,38,41
Lancaster+County+Nebraska,Lancaster+County+Nebraska,77,69,57,51,51,60,71
Lincoln+County+Nebraska,Lincoln+County+Nebraska,82,47,44,59,41,52,52
Logan+County+Nebraska,Logan+County+Nebraska,75,61,45,33,31,31,56
Loup+County+Nebraska,Loup+County+Nebraska,34,48,59,38,23,26,32
McPherson+County+Nebraska,McPherson+County+Nebraska,34,47,45,48,24,25,54
Madison+County+Nebraska,Madison+County+Nebraska,67,43,53,62,46,68,51
Merrick+County+Nebraska,Merrick+County+Nebraska,93,59,34,56,35,52,63
Morrill+County+Nebraska,Morrill+County+Nebraska,57,56,27,55,40,40,39
Nance+County+Nebraska,Nance+County+Nebraska,55,47,43,60,40,56,59
Nemaha+County+Nebraska,Nemaha+County+Nebraska,56,41,49,67,41,59,52
Nuckolls+County+Nebraska,Nuckolls+County+Nebraska,93,62,48,62,37,51,62
Otoe+County+Nebraska,Otoe+County+Nebraska,94,33,35,54,45,57,42
Pawnee+County+Nebraska,Pawnee+County+Nebraska,50,48,31,67,31,35,41
Perkins+County+Nebraska,Perkins+County+Nebraska,63,44,49,55,36,75,47
Phelps+County+Nebraska,Phelps+County+Nebraska,97,51,47,56,44,74,52
Pierce+County+Nebraska,Pierce+County+Nebraska,58,25,44,52,42,63,45
Platte+County+Nebraska,Platte+County+Nebraska,62,37,55,57,46,82,52
Polk+County+Nebraska,Polk+County+Nebraska,61,33,43,60,36,42,39
Red+Willow+County+Nebraska,Red+Willow+County+Nebraska,71,46,50,63,45,64,57
Richardson+County+Nebraska,Richardson+County+Nebraska,56,44,37,65,38,49,52
Rock+County+Nebraska,Rock+County+Nebraska,63,62,54,58,34,35,52
Saline+County+Nebraska,Saline+County+Nebraska,34,32,52,51,40,35,54
Sarpy+County+Nebraska,Sarpy+County+Nebraska,55,61,57,45,52,81,66
Saunders+County+Nebraska,Saunders+County+Nebraska,78,36,48,49,43,72,41
Scotts+Bluff+County+Nebraska,Scotts+Bluff+County+Nebraska,79,59,37,56,41,56,54
Seward+County+Nebraska,Seward+County+Nebraska,84,23,48,54,45,78,41
Sheridan+County+Nebraska,Sheridan+County+Nebraska,90,38,49,54,37,39,42
Sherman+County+Nebraska,Sherman+County+Nebraska,63,31,40,60,33,32,37
Sioux+County+Nebraska,Sioux+County+Nebraska,52,62,38,38,26,10,60
Stanton+County+Nebraska,Stanton+County+Nebraska,49,55,43,48,40,46,53
Thayer+County+Nebraska,Thayer+County+Nebraska,64,36,45,60,31,50,46
Thomas+County+Nebraska,Thomas+County+Nebraska,72,81,32,45,25,24,29
Thurston+County+Nebraska,Thurston+County+Nebraska,40,62,28,61,43,49,47
Valley+County+Nebraska,Valley+County+Nebraska,90,37,51,57,42,59,61
Washington+County+Nebraska,Washington+County+Nebraska,71,62,54,50,44,81,46
Wayne+County+Nebraska,Wayne+County+Nebraska,62,22,59,56,42,70,55
Webster+County+Nebraska,Webster+County+Nebraska,78,36,42,65,36,48,56
Wheeler+County+Nebraska,Wheeler+County+Nebraska,29,62,47,42,24,16,63
York+County+Nebraska,York+County+Nebraska,87,24,46,61,41,70,44
Churchill+County+Nevada,Churchill+County+Nevada,41,65,39,52,35,52,41
Clark+County+Nevada,Clark+County+Nevada,17,51,50,35,53,40,50
Douglas+County+Nevada,Douglas+County+Nevada,43,50,56,40,43,44,43
Elko+County+Nevada,Elko+County+Nevada,24,68,38,52,39,66,42
Esmeralda+County+Nevada,Esmeralda+County+Nevada,0,58,23,51,22,37,59
Eureka+County+Nevada,Eureka+County+Nevada,28,33,24,55,18,92,32
Humboldt+County+Nevada,Humboldt+County+Nevada,33,25,31,54,36,59,50
Lander+County+Nevada,Lander+County+Nevada,24,53,32,55,35,76,41
Lincoln+County+Nevada,Lincoln+County+Nevada,12,39,40,57,24,24,62
Lyon+County+Nevada,Lyon+County+Nevada,11,71,30,43,38,42,41
Mineral+County+Nevada,Mineral+County+Nevada,7,61,0,48,35,41,64
Nye+County+Nevada,Nye+County+Nevada,18,59,20,44,26,28,42
Pershing+County+Nevada,Pershing+County+Nevada,5,51,18,59,30,50,55
Storey+County+Nevada,Storey+County+Nevada,52,55,30,24,36,61,54
Washoe+County+Nevada,Washoe+County+Nevada,32,57,50,47,54,42,52
White+Pine+County+Nevada,White+Pine+County+Nevada,38,64,25,56,36,60,57
Carson+City+Nevada,Carson+City+Nevada,44,56,44,50,54,61,54
Belknap+County+New+Hampshire,Belknap+County+New+Hampshire,70,63,51,47,35,58,46
Carroll+County+New+Hampshire,Carroll+County+New+Hampshire,82,45,53,45,27,49,42
Cheshire+County+New+Hampshire,Cheshire+County+New+Hampshire,66,44,57,50,41,57,46
Coos+County+New+Hampshire,Coos+County+New+Hampshire,59,67,30,59,34,51,49
Grafton+County+New+Hampshire,Grafton+County+New+Hampshire,74,64,58,50,37,73,46
Hillsborough+County+New+Hampshire,Hillsborough+County+New+Hampshire,53,50,57,46,49,62,51
Merrimack+County+New+Hampshire,Merrimack+County+New+Hampshire,71,38,58,47,43,71,57
Rockingham+County+New+Hampshire,Rockingham+County+New+Hampshire,62,58,58,39,46,37,43
Strafford+County+New+Hampshire,Strafford+County+New+Hampshire,,,,,,,
Sullivan+County+New+Hampshire,Sullivan+County+New+Hampshire,50,49,56,53,38,46,46
Atlantic+County+New+Jersey,Atlantic+County+New+Jersey,46,44,49,51,48,57,49
Bergen+County+New+Jersey,Bergen+County+New+Jersey,54,44,71,34,71,57,60
Burlington+County+New+Jersey,Burlington+County+New+Jersey,55,39,54,36,55,70,38
Camden+County+New+Jersey,Camden+County+New+Jersey,59,31,51,51,60,56,49
Cape+May+County+New+Jersey,Cape+May+County+New+Jersey,69,59,53,44,38,46,49
Cumberland+County+New+Jersey,Cumberland+County+New+Jersey,53,58,39,53,44,52,42
Essex+County+New+Jersey,Essex+County+New+Jersey,61,44,59,59,70,37,63
Gloucester+County+New+Jersey,Gloucester+County+New+Jersey,56,41,45,39,53,71,38
Hudson+County+New+Jersey,Hudson+County+New+Jersey,44,60,64,59,80,44,79
Hunterdon+County+New+Jersey,Hunterdon+County+New+Jersey,68,55,68,22,50,71,37
Mercer+County+New+Jersey,Mercer+County+New+Jersey,70,44,62,49,60,64,51
Middlesex+County+New+Jersey,Middlesex+County+New+Jersey,46,38,65,40,62,67,47
Monmouth+County+New+Jersey,Monmouth+County+New+Jersey,63,37,61,36,55,60,43
Morris+County+New+Jersey,Morris+County+New+Jersey,66,46,68,30,59,66,42
Ocean+County+New+Jersey,Ocean+County+New+Jersey,37,46,50,35,50,57,40
Passaic+County+New+Jersey,Passaic+County+New+Jersey,54,61,63,42,68,49,59
Salem+County+New+Jersey,Salem+County+New+Jersey,54,46,40,51,46,65,38
Somerset+County+New+Jersey,Somerset+County+New+Jersey,61,19,71,30,56,65,42
Sussex+County+New+Jersey,Sussex+County+New+Jersey,52,46,55,28,45,73,40
Union+County+New+Jersey,Union+County+New+Jersey,57,62,66,45,68,50,56
Warren+County+New+Jersey,Warren+County+New+Jersey,49,51,52,35,49,66,47
Bernalillo+County+New+Mexico,Bernalillo+County+New+Mexico,45,45,68,56,53,41,58
Catron+County+New+Mexico,Catron+County+New+Mexico,12,56,50,47,21,24,62
Chaves+County+New+Mexico,Chaves+County+New+Mexico,47,66,37,51,36,43,53
Cibola+County+New+Mexico,Cibola+County+New+Mexico,30,44,30,64,31,38,38
Colfax+County+New+Mexico,Colfax+County+New+Mexico,48,42,45,63,33,42,46
Curry+County+New+Mexico,Curry+County+New+Mexico,40,51,32,53,38,42,53
De+Baca+County+New+Mexico,De+Baca+County+New+Mexico,73,61,52,64,34,31,37
Dona+Ana+County+New+Mexico,De+Baca+County+New+Mexico,73,61,52,64,34,31,37
Eddy+County+New+Mexico,Eddy+County+New+Mexico,52,58,33,57,39,44,54
Grant+County+New+Mexico,Grant+County+New+Mexico,35,69,46,57,32,42,53
Guadalupe+County+New+Mexico,Guadalupe+County+New+Mexico,32,45,55,66,28,61,35
Harding+County+New+Mexico,Harding+County+New+Mexico,59,61,41,43,22,9,62
Hidalgo+County+New+Mexico,Hidalgo+County+New+Mexico,22,24,44,66,37,45,47
Lea+County+New+Mexico,Lea+County+New+Mexico,36,60,30,55,37,60,50
Lincoln+County+New+Mexico,Lincoln+County+New+Mexico,58,52,55,49,32,34,45
Los+Alamos+County+New+Mexico,Los+Alamos+County+New+Mexico,75,81,75,49,51,91,50
Luna+County+New+Mexico,Luna+County+New+Mexico,22,66,33,61,31,25,49
McKinley+County+New+Mexico,McKinley+County+New+Mexico,34,67,18,64,29,26,38
Mora+County+New+Mexico,Mora+County+New+Mexico,62,47,37,53,23,21,51
Otero+County+New+Mexico,Otero+County+New+Mexico,42,56,39,51,35,41,49
Quay+County+New+Mexico,Quay+County+New+Mexico,48,27,36,65,29,44,62
Rio+Arriba+County+New+Mexico,Rio+Arriba+County+New+Mexico,41,59,45,50,30,27,38
Roosevelt+County+New+Mexico,Roosevelt+County+New+Mexico,43,25,36,48,37,46,52
Sandoval+County+New+Mexico,Sandoval+County+New+Mexico,20,59,59,44,45,51,49
San+Juan+County+New+Mexico,San+Juan+County+New+Mexico,38,44,29,51,36,44,55
San+Miguel+County+New+Mexico,San+Miguel+County+New+Mexico,29,44,44,61,33,35,51
Santa+Fe+County+New+Mexico,Santa+Fe+County+New+Mexico,64,63,66,56,39,27,49
Sierra+County+New+Mexico,Sierra+County+New+Mexico,59,62,34,64,31,33,45
Socorro+County+New+Mexico,Socorro+County+New+Mexico,25,45,48,59,30,32,42
Taos+County+New+Mexico,Taos+County+New+Mexico,73,62,50,51,30,27,43
Torrance+County+New+Mexico,Torrance+County+New+Mexico,41,45,37,44,28,42,35
Union+County+New+Mexico,Union+County+New+Mexico,64,52,33,56,36,71,44
Valencia+County+New+Mexico,Valencia+County+New+Mexico,32,69,44,48,37,48,48
Albany+County+New+York,Albany+County+New+York,70,59,57,71,51,55,56
Allegany+County+New+York,Allegany+County+New+York,47,47,28,52,34,51,45
Bronx+County+New+York,Bronx+County+New+York,28,47,49,84,84,45,83
Broome+County+New+York,Broome+County+New+York,55,37,44,53,43,57,55
Cattaraugus+County+New+York,Cattaraugus+County+New+York,50,42,35,53,37,55,43
Cayuga+County+New+York,Cayuga+County+New+York,57,50,36,54,42,50,45
Chautauqua+County+New+York,Chautauqua+County+New+York,60,54,41,57,41,54,50
Chemung+County+New+York,Chemung+County+New+York,60,61,41,59,47,51,59
Chenango+County+New+York,Chenango+County+New+York,52,60,40,53,34,59,41
Clinton+County+New+York,Clinton+County+New+York,52,48,36,55,40,53,44
Columbia+County+New+York,Columbia+County+New+York,72,60,51,50,38,38,42
Cortland+County+New+York,Cortland+County+New+York,56,60,37,57,45,51,49
Delaware+County+New+York,Delaware+County+New+York,57,50,41,52,32,52,41
Dutchess+County+New+York,Dutchess+County+New+York,54,52,58,45,47,59,40
Erie+County+New+York,Erie+County+New+York,,,,,,,
Essex+County+New+York,Essex+County+New+York,76,50,59,50,37,49,42
Franklin+County+New+York,Franklin+County+New+York,45,52,35,57,37,55,45
Fulton+County+New+York,Fulton+County+New+York,39,50,37,51,42,45,49
Genesee+County+New+York,Genesee+County+New+York,50,59,33,52,45,57,40
Greene+County+New+York,Greene+County+New+York,68,41,34,49,38,40,45
Hamilton+County+New+York,Hamilton+County+New+York,96,64,57,44,24,45,46
Herkimer+County+New+York,Herkimer+County+New+York,54,59,36,58,43,43,50
Jefferson+County+New+York,Jefferson+County+New+York,48,57,38,56,39,53,61
Kings+County+New+York,Kings+County+New+York,42,60,59,71,80,42,83
Lewis+County+New+York,Lewis+County+New+York,70,47,38,49,31,52,42
Livingston+County+New+York,Livingston+County+New+York,43,51,48,50,47,73,43
Madison+County+New+York,Madison+County+New+York,50,67,46,58,41,68,44
Monroe+County+New+York,Monroe+County+New+York,46,71,53,55,54,58,62
Montgomery+County+New+York,Montgomery+County+New+York,46,60,33,68,40,47,46
Nassau+County+New+York,Nassau+County+New+York,58,71,67,27,69,65,57
New+York+County+New+York,New+York+County+New+York,81,49,79,79,89,21,91
Niagara+County+New+York,Niagara+County+New+York,65,69,44,59,50,67,67
Oneida+County+New+York,Oneida+County+New+York,52,68,43,57,43,61,55
Onondaga+County+New+York,Onondaga+County+New+York,60,53,54,66,50,54,53
Ontario+County+New+York,Ontario+County+New+York,53,44,52,51,45,67,48
Orange+County+New+York,Orange+County+New+York,49,54,54,45,48,60,34
Orleans+County+New+York,Orleans+County+New+York,36,52,32,48,38,74,41
Oswego+County+New+York,Oswego+County+New+York,40,51,31,56,38,61,48
Otsego+County+New+York,Otsego+County+New+York,66,50,47,48,39,48,43
Putnam+County+New+York,Putnam+County+New+York,65,70,59,24,49,73,34
Queens+County+New+York,Queens+County+New+York,40,44,61,52,77,55,82
Rensselaer+County+New+York,Rensselaer+County+New+York,,,,,,,
Richmond+County+New+York,Richmond+County+New+York,45,20,54,50,63,58,58
Rockland+County+New+York,Rockland+County+New+York,65,60,55,39,59,58,45
St.+Lawrence+County+New+York,St.+Lawrence+County+New+York,44,46,32,56,36,42,47
Saratoga+County+New+York,Saratoga+County+New+York,57,61,55,57,46,70,49
Schenectady+County+New+York,Schenectady+County+New+York,57,68,48,64,49,59,59
Schoharie+County+New+York,Schoharie+County+New+York,59,44,38,49,36,62,41
Schuyler+County+New+York,Schuyler+County+New+York,59,61,33,52,38,50,44
Seneca+County+New+York,Seneca+County+New+York,60,32,39,51,40,55,44
Steuben+County+New+York,Steuben+County+New+York,55,78,34,54,39,59,52
Suffolk+County+New+York,Suffolk+County+New+York,51,51,61,28,55,69,39
Sullivan+County+New+York,Sullivan+County+New+York,50,62,37,52,33,40,41
Tioga+County+New+York,Tioga+County+New+York,55,62,37,46,41,47,47
Tompkins+County+New+York,Tompkins+County+New+York,60,67,59,56,44,49,56
Ulster+County+New+York,Ulster+County+New+York,63,64,51,44,42,42,43
Warren+County+New+York,Warren+County+New+York,68,35,51,50,44,56,52
Washington+County+New+York,Washington+County+New+York,54,44,45,44,40,62,48
Wayne+County+New+York,Wayne+County+New+York,41,57,39,54,42,76,49
Westchester+County+New+York,Westchester+County+New+York,64,44,74,45,68,43,52
Wyoming+County+New+York,Wyoming+County+New+York,54,43,35,49,42,64,46
Yates+County+New+York,Yates+County+New+York,63,52,45,55,35,62,44
Alamance+County+North+Carolina,Alamance+County+North+Carolina,51,65,41,52,41,49,41
Alexander+County+North+Carolina,Alexander+County+North+Carolina,55,75,30,45,33,55,44
Alleghany+County+North+Carolina,Alleghany+County+North+Carolina,54,45,39,51,33,41,42
Anson+County+North+Carolina,Anson+County+North+Carolina,42,59,29,53,29,33,36
Ashe+County+North+Carolina,Ashe+County+North+Carolina,50,60,39,53,27,35,43
Avery+County+North+Carolina,Avery+County+North+Carolina,59,59,41,53,35,39,45
Beaufort+County+North+Carolina,Beaufort+County+North+Carolina,59,80,38,56,32,47,46
Bertie+County+North+Carolina,Bertie+County+North+Carolina,64,59,27,50,31,40,38
Bladen+County+North+Carolina,Bladen+County+North+Carolina,39,55,5,57,27,36,33
Brunswick+County+North+Carolina,Brunswick+County+North+Carolina,46,54,34,44,31,40,46
Buncombe+County+North+Carolina,Buncombe+County+North+Carolina,67,62,53,56,44,48,51
Burke+County+North+Carolina,Burke+County+North+Carolina,50,56,35,54,38,60,40
Cabarrus+County+North+Carolina,Cabarrus+County+North+Carolina,51,57,53,38,44,65,46
Caldwell+County+North+Carolina,Caldwell+County+North+Carolina,46,74,31,53,34,52,40
Camden+County+North+Carolina,Camden+County+North+Carolina,42,61,48,41,34,68,43
Carteret+County+North+Carolina,Carteret+County+North+Carolina,64,62,39,54,35,39,48
Caswell+County+North+Carolina,Caswell+County+North+Carolina,58,44,32,47,30,24,39
Catawba+County+North+Carolina,Catawba+County+North+Carolina,57,75,49,50,38,56,43
Chatham+County+North+Carolina,Chatham+County+North+Carolina,57,61,60,42,36,57,40
Cherokee+County+North+Carolina,Cherokee+County+North+Carolina,56,61,45,54,38,49,47
Chowan+County+North+Carolina,Chowan+County+North+Carolina,75,61,31,56,33,37,44
Clay+County+North+Carolina,Clay+County+North+Carolina,71,48,49,50,31,28,43
Cleveland+County+North+Carolina,Cleveland+County+North+Carolina,55,56,36,55,37,44,47
Columbus+County+North+Carolina,Columbus+County+North+Carolina,47,52,24,54,27,38,36
Craven+County+North+Carolina,Craven+County+North+Carolina,50,54,51,51,38,43,44
Cumberland+County+North+Carolina,Cumberland+County+North+Carolina,45,53,33,49,37,49,47
Currituck+County+North+Carolina,Currituck+County+North+Carolina,50,61,39,27,33,66,35
Dare+County+North+Carolina,Dare+County+North+Carolina,79,56,51,33,30,63,48
Davidson+County+North+Carolina,Davidson+County+North+Carolina,47,78,40,59,41,53,41
Davie+County+North+Carolina,Davie+County+North+Carolina,50,49,44,42,37,50,37
Duplin+County+North+Carolina,Duplin+County+North+Carolina,40,71,24,53,32,43,37
Durham+County+North+Carolina,Durham+County+North+Carolina,61,62,62,68,47,56,55
Edgecombe+County+North+Carolina,Edgecombe+County+North+Carolina,52,44,15,59,35,51,58
